home_team_id,away_team_id,result,away_expected_points,away_xg,away_ppda,away_deep_completions,home_expected_points,home_xg,home_ppda,home_deep_completions,home_rating,away_rating,wins,draws,losses,oppos_wins,oppos_draws,oppos_losses,goals,shots,shotontarget,cornerkicks,fouls,yellowcards,redcards,oppos_goals,oppos_shots,oppos_shotontarget,oppos_cornerkicks,oppos_fouls,oppos_yellowcards,oppos_redcards
89,84,3,0.4839,0.278076,17.94736842105263,2,2.2359,1.16635,10.12,8,2.5,2.2142857142857144,-0.19999999999999996,0.2,0.0,1.0,0.0,0.0,-0.19999999999999996,5.800000000000001,0.5999999999999996,0.0,-0.40000000000000036,0.6000000000000001,-0.2,2.0,4.0,3.6666666666666665,-1.0,-1.666666666666666,0.0,0.0
85,71,3,1.8322,0.909774,14.043478260869565,4,0.8041,0.423368,4.125,3,2.3846153846153846,1.6923076923076923,0.39999999999999997,0.0,-0.39999999999999997,0.6666666666666666,0.0,0.3333333333333333,0.8,7.600000000000001,1.7999999999999998,0.39999999999999947,-1.200000000000001,0.0,0.2,0.6666666666666667,-3.0,-2.0,-0.3333333333333339,-1.666666666666666,-1.9999999999999998,0.0
76,77,1,0.6965999999999999,0.991901,13.6875,3,2.0358,1.68343,5.935483870967742,6,2.5,2.0714285714285716,-0.6000000000000001,0.0,0.6000000000000001,0.6666666666666666,0.0,0.3333333333333333,-1.4,0.8000000000000007,-0.3999999999999999,0.7999999999999998,-4.200000000000001,-1.4,0.0,0.6666666666666667,5.333333333333334,1.3333333333333335,-1.9999999999999996,0.3333333333333339,-0.33333333333333337,0.0
81,82,3,0.7136,1.01706,10.956521739130435,3,2.0216000000000003,1.8531,11.25,9,2.336507936507936,2.165079365079365,-0.39999999999999997,-0.2,0.6000000000000001,0.6666666666666666,0.0,0.3333333333333333,-1.4,-3.4000000000000004,-1.8000000000000003,0.5999999999999996,-0.6000000000000014,-0.6000000000000001,-0.2,1.3333333333333335,-2.333333333333334,-1.333333333333334,-0.33333333333333304,1.0,-0.3333333333333335,-0.3333333333333333
87,74,0,1.5269,1.55248,11.13888888888889,9,1.1776999999999995,1.33192,11.333333333333334,6,3.3846153846153846,2.6153846153846154,0.19999999999999996,-0.2,0.0,0.3333333333333333,0.0,0.6666666666666666,1.4000000000000001,4.0,1.8000000000000007,2.8000000000000007,-1.6000000000000014,0.19999999999999996,0.2,0.0,-4.0,-1.666666666666667,0.3333333333333339,-2.333333333333333,0.33333333333333337,0.0
86,88,3,1.7849,1.48053,12.909090909090908,9,0.9422,0.965583,15.590909090909092,6,2.0,2.7857142857142856,-0.8,0.0,0.8,0.0,0.0,1.0,-1.7999999999999998,-6.800000000000001,-3.5999999999999996,-3.8,1.4000000000000004,0.19999999999999996,0.4,-3.3333333333333335,-10.0,-7.0,-5.0,1.0,1.6666666666666667,0.3333333333333333
71,86,1,1.4753,0.699295,8.571428571428571,7,1.1057,0.507525,15.523809523809524,4,1.3571428571428572,2.1436507936507936,0.2,0.0,-0.20000000000000007,0.0,0.0,1.0,0.0,-4.4,0.0,1.6,1.5999999999999996,-0.19999999999999996,-0.4,-1.0,-6.666666666666668,-4.333333333333334,-2.6666666666666665,1.0,0.0,0.0
72,83,1,1.4293,1.43355,7.787878787878788,8,1.279,1.33429,15.882352941176473,3,2.5714285714285716,2.9285714285714284,-0.6,0.2,0.4,0.3333333333333333,0.6666666666666666,0.0,-0.6000000000000001,-3.1999999999999993,-2.8000000000000003,-1.7999999999999998,-0.1999999999999993,-0.40000000000000013,0.0,1.0,0.0,0.3333333333333339,-3.666666666666667,0.0,1.3333333333333333,0.0
74,76,1,1.3363,0.665791,12.391304347826088,2,1.2772,0.665853,7.444444444444445,5,2.0,1.357936507936508,0.2,0.2,-0.39999999999999997,0.6666666666666666,0.0,0.3333333333333333,0.19999999999999996,-1.5999999999999996,0.6000000000000005,-2.0,0.3999999999999986,0.6000000000000001,0.0,-0.33333333333333337,5.0,-0.3333333333333335,1.666666666666666,0.6666666666666661,-1.6666666666666665,0.3333333333333333
77,89,1,1.674,0.941557,11.0,2,0.9735,0.666489,12.714285714285714,4,2.7142857142857144,1.7857142857142858,0.19999999999999996,0.0,-0.2,0.3333333333333333,0.0,0.6666666666666666,0.19999999999999996,-3.1999999999999993,-1.8000000000000003,-0.40000000000000036,0.6000000000000014,0.19999999999999996,0.0,-0.33333333333333337,-5.666666666666667,-2.3333333333333335,-3.6666666666666665,1.666666666666666,-0.3333333333333335,0.0
82,202,0,0.5381,1.07617,16.285714285714285,2,2.2766,2.38894,7.724137931034483,8,4.785714285714286,1.5714285714285714,0.8,-0.2,-0.6000000000000001,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.4000000000000001,-0.3999999999999986,-0.1999999999999993,0.5999999999999996,1.5999999999999996,-0.40000000000000013,0.4,0.0,8.666666666666666,6.0,4.666666666666666,-3.666666666666666,-2.0,-0.3333333333333333
88,87,0,0.9614,0.901889,18.22222222222222,7,1.7441,1.31375,17.0,11,3.0,2.0,0.4,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6000000000000001,0.40000000000000213,0.0,0.1999999999999993,-0.40000000000000036,1.0,0.0,0.0,-0.3333333333333339,-1.666666666666667,0.0,3.333333333333333,-0.6666666666666665,-0.3333333333333333
