,home_team_id,away_team_id,result,away_expected_points,away_xg,away_ppda,away_deep_completions,home_expected_points,home_xg,home_ppda,home_deep_completions,home_rating,away_rating,wins,draws,losses,oppos_wins,oppos_draws,oppos_losses,goals,shots,shotontarget,cornerkicks,fouls,yellowcards,redcards,oppos_goals,oppos_shots,oppos_shotontarget,oppos_cornerkicks,oppos_fouls,oppos_yellowcards,oppos_redcards
0,83,78,0,0.1114,0.158151,14.172413793103448,0,2.7946,1.55411,2.933333333333333,9,3.0,1.3579365079365078,,,,,,,,,,,,,,,,,,,,
1,75,72,1,0.7617,0.613273,11.6875,15,1.9461,1.2783,14.48,1,2.142857142857143,2.5384615384615383,,,,,,,,,,,,,,,,,,,,
2,89,84,3,0.4839,0.278076,17.94736842105263,2,2.2359,1.16635,10.12,8,2.5,2.2142857142857144,-0.19999999999999996,0.2,0.0,1.0,0.0,0.0,-0.19999999999999996,5.800000000000001,0.5999999999999996,0.0,-0.40000000000000036,0.6000000000000001,-0.2,2.0,4.0,3.6666666666666665,-1.0,-1.666666666666666,0.0,0.0
3,202,91,3,0.7402,1.11757,10.285714285714286,5,2.0149,1.90067,12.823529411764708,1,2.7142857142857144,2.4285714285714284,,,,,,,,,,,,,,,,,,,,
4,85,71,3,1.8322,0.909774,14.043478260869565,4,0.8041,0.423368,4.125,3,2.3846153846153846,1.6923076923076923,0.39999999999999997,0.0,-0.39999999999999997,0.6666666666666666,0.0,0.3333333333333333,0.8,7.600000000000001,1.7999999999999998,0.39999999999999947,-1.200000000000001,0.0,0.2,0.6666666666666667,-3.0,-2.0,-0.3333333333333339,-1.666666666666666,-1.9999999999999998,0.0
5,76,77,1,0.6965999999999999,0.991901,13.6875,3,2.0358,1.68343,5.935483870967742,6,2.5,2.0714285714285716,-0.6000000000000001,0.0,0.6000000000000001,0.6666666666666666,0.0,0.3333333333333333,-1.4,0.8000000000000007,-0.3999999999999999,0.7999999999999998,-4.200000000000001,-1.4,0.0,0.6666666666666667,5.333333333333334,1.3333333333333335,-1.9999999999999996,0.3333333333333339,-0.33333333333333337,0.0
6,81,82,3,0.7136,1.01706,10.956521739130435,3,2.0216000000000003,1.8531,11.25,9,2.336507936507936,2.165079365079365,-0.39999999999999997,-0.2,0.6000000000000001,0.6666666666666666,0.0,0.3333333333333333,-1.4,-3.4000000000000004,-1.8000000000000003,0.5999999999999996,-0.6000000000000014,-0.6000000000000001,-0.2,1.3333333333333335,-2.333333333333334,-1.333333333333334,-0.33333333333333304,1.0,-0.3333333333333335,-0.3333333333333333
7,87,74,0,1.5269,1.55248,11.13888888888889,9,1.1776999999999995,1.33192,11.333333333333334,6,3.3846153846153846,2.6153846153846154,0.19999999999999996,-0.2,0.0,0.3333333333333333,0.0,0.6666666666666666,1.4000000000000001,4.0,1.8000000000000007,2.8000000000000007,-1.6000000000000014,0.19999999999999996,0.2,0.0,-4.0,-1.666666666666667,0.3333333333333339,-2.333333333333333,0.33333333333333337,0.0
8,86,88,3,1.7849,1.48053,12.909090909090908,9,0.9422,0.965583,15.590909090909092,6,2.0,2.7857142857142856,-0.8,0.0,0.8,0.0,0.0,1.0,-1.7999999999999998,-6.800000000000001,-3.5999999999999996,-3.8,1.4000000000000004,0.19999999999999996,0.4,-3.3333333333333335,-10.0,-7.0,-5.0,1.0,1.6666666666666667,0.3333333333333333
9,92,80,3,2.6745,2.12996,13.733333333333333,10,0.2082,0.371141,17.952380952380953,2,2.2142857142857144,3.2857142857142856,,,,,,,,,,,,,,,,,,,,
10,71,86,1,1.4753,0.699295,8.571428571428571,7,1.1057,0.507525,15.523809523809524,4,1.3571428571428572,2.1436507936507936,0.2,0.0,-0.20000000000000007,0.0,0.0,1.0,0.0,-4.4,0.0,1.6,1.5999999999999996,-0.19999999999999996,-0.4,-1.0,-6.666666666666668,-4.333333333333334,-2.6666666666666665,1.0,0.0,0.0
11,80,75,0,0.3517,0.550894,9.15625,1,2.4703,2.02939,7.052631578947368,12,4.571428571428571,1.5714285714285714,,,,,,,,,,,,,,,,,,,,
12,78,81,3,1.9663,1.33957,9.045454545454543,6,0.7438,0.617283,8.151515151515152,7,2.357142857142857,3.6436507936507936,,,,,,,,,,,,,,,,,,,,
13,72,83,1,1.4293,1.43355,7.787878787878788,8,1.279,1.33429,15.882352941176473,3,2.5714285714285716,2.9285714285714284,-0.6,0.2,0.4,0.3333333333333333,0.6666666666666666,0.0,-0.6000000000000001,-3.1999999999999993,-2.8000000000000003,-1.7999999999999998,-0.1999999999999993,-0.40000000000000013,0.0,1.0,0.0,0.3333333333333339,-3.666666666666667,0.0,1.3333333333333333,0.0
14,74,76,1,1.3363,0.665791,12.391304347826088,2,1.2772,0.665853,7.444444444444445,5,2.0,1.357936507936508,0.2,0.2,-0.39999999999999997,0.6666666666666666,0.0,0.3333333333333333,0.19999999999999996,-1.5999999999999996,0.6000000000000005,-2.0,0.3999999999999986,0.6000000000000001,0.0,-0.33333333333333337,5.0,-0.3333333333333335,1.666666666666666,0.6666666666666661,-1.6666666666666665,0.3333333333333333
15,84,92,0,1.2368,0.843331,13.75,9,1.4231,0.914215,14.0,2,2.000793650793651,1.7150793650793652,,,,,,,,,,,,,,,,,,,,
16,91,85,1,1.9947,1.60916,9.789473684210526,13,0.7265999999999999,0.870175,20.5,2,1.4388888888888889,2.2857142857142856,,,,,,,,,,,,,,,,,,,,
