,wins,draws,losses,oppos_wins,oppos_draws,oppos_losses,goals,shots,shotontarget,cornerkicks,fouls,yellowcards,redcards,oppos_goals,oppos_shots,oppos_shotontarget,oppos_cornerkicks,oppos_fouls,oppos_yellowcards,oppos_redcards
0,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,-0.19999999999999996,0.2,0.0,1.0,0.0,0.0,-0.19999999999999996,5.800000000000001,0.5999999999999996,0.0,-0.40000000000000036,0.6000000000000001,-0.2,2.0,4.0,3.6666666666666665,-1.0,-1.666666666666666,0.0,0.0
3,,,,,,,,,,,,,,,,,,,,
4,0.39999999999999997,0.0,-0.39999999999999997,0.6666666666666666,0.0,0.3333333333333333,0.8,7.600000000000001,1.7999999999999998,0.39999999999999947,-1.200000000000001,0.0,0.2,0.6666666666666667,-3.0,-2.0,-0.3333333333333339,-1.666666666666666,-1.9999999999999998,0.0
5,-0.6000000000000001,0.0,0.6000000000000001,0.6666666666666666,0.0,0.3333333333333333,-1.4,0.8000000000000007,-0.3999999999999999,0.7999999999999998,-4.200000000000001,-1.4,0.0,0.6666666666666667,5.333333333333334,1.3333333333333335,-1.9999999999999996,0.3333333333333339,-0.33333333333333337,0.0
6,-0.39999999999999997,-0.2,0.6000000000000001,0.6666666666666666,0.0,0.3333333333333333,-1.4,-3.4000000000000004,-1.8000000000000003,0.5999999999999996,-0.6000000000000014,-0.6000000000000001,-0.2,1.3333333333333335,-2.333333333333334,-1.333333333333334,-0.33333333333333304,1.0,-0.3333333333333335,-0.3333333333333333
7,0.19999999999999996,-0.2,0.0,0.3333333333333333,0.0,0.6666666666666666,1.4000000000000001,4.0,1.8000000000000007,2.8000000000000007,-1.6000000000000014,0.19999999999999996,0.2,0.0,-4.0,-1.666666666666667,0.3333333333333339,-2.333333333333333,0.33333333333333337,0.0
8,-0.8,0.0,0.8,0.0,0.0,1.0,-1.7999999999999998,-6.800000000000001,-3.5999999999999996,-3.8,1.4000000000000004,0.19999999999999996,0.4,-3.3333333333333335,-10.0,-7.0,-5.0,1.0,1.6666666666666667,0.3333333333333333
9,,,,,,,,,,,,,,,,,,,,
10,0.2,0.0,-0.20000000000000007,0.0,0.0,1.0,0.0,-4.4,0.0,1.6,1.5999999999999996,-0.19999999999999996,-0.4,-1.0,-6.666666666666668,-4.333333333333334,-2.6666666666666665,1.0,0.0,0.0
11,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
13,-0.6,0.2,0.4,0.3333333333333333,0.6666666666666666,0.0,-0.6000000000000001,-3.1999999999999993,-2.8000000000000003,-1.7999999999999998,-0.1999999999999993,-0.40000000000000013,0.0,1.0,0.0,0.3333333333333339,-3.666666666666667,0.0,1.3333333333333333,0.0
14,0.2,0.2,-0.39999999999999997,0.6666666666666666,0.0,0.3333333333333333,0.19999999999999996,-1.5999999999999996,0.6000000000000005,-2.0,0.3999999999999986,0.6000000000000001,0.0,-0.33333333333333337,5.0,-0.3333333333333335,1.666666666666666,0.6666666666666661,-1.6666666666666665,0.3333333333333333
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,0.19999999999999996,0.0,-0.2,0.3333333333333333,0.0,0.6666666666666666,0.19999999999999996,-3.1999999999999993,-1.8000000000000003,-0.40000000000000036,0.6000000000000014,0.19999999999999996,0.0,-0.33333333333333337,-5.666666666666667,-2.3333333333333335,-3.6666666666666665,1.666666666666666,-0.3333333333333335,0.0
18,0.8,-0.2,-0.6000000000000001,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.4000000000000001,-0.3999999999999986,-0.1999999999999993,0.5999999999999996,1.5999999999999996,-0.40000000000000013,0.4,0.0,8.666666666666666,6.0,4.666666666666666,-3.666666666666666,-2.0,-0.3333333333333333
19,0.4,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6000000000000001,0.40000000000000213,0.0,0.1999999999999993,-0.40000000000000036,1.0,0.0,0.0,-0.3333333333333339,-1.666666666666667,0.0,3.333333333333333,-0.6666666666666665,-0.3333333333333333
20,,,,,,,,,,,,,,,,,,,,
21,-0.6000000000000001,0.2,0.4,0.3333333333333333,0.0,0.6666666666666666,-0.19999999999999996,-10.0,-2.5999999999999996,-0.6000000000000005,0.0,-0.6000000000000001,0.0,-0.33333333333333337,-10.666666666666666,-2.333333333333334,-1.666666666666666,-1.333333333333334,-1.0000000000000002,0.0
22,0.6,-0.2,-0.4,0.6666666666666666,0.3333333333333333,0.0,1.4,0.0,2.2,2.2,-0.5999999999999996,1.5999999999999999,-0.2,1.3333333333333333,8.0,3.6666666666666665,3.9999999999999996,-0.6666666666666661,0.6666666666666667,0.0
23,,,,,,,,,,,,,,,,,,,,
24,-0.4,-0.4,0.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.2,0.8000000000000007,1.0,0.19999999999999973,-4.800000000000001,0.8,0.0,0.0,1.0,1.333333333333334,-0.33333333333333304,-4.0,0.33333333333333326,0.3333333333333333
25,0.8,-0.4,-0.39999999999999997,0.3333333333333333,0.0,0.6666666666666666,1.4,-2.6000000000000014,1.7999999999999998,-3.0000000000000004,2.8000000000000007,0.8000000000000003,0.0,0.0,0.3333333333333339,0.3333333333333335,1.3333333333333335,-0.33333333333333215,-0.9999999999999998,0.0
