,home_wins,home_draws,home_losses,home_goals,home_oppos_goals,home_shots,home_oppos_shots,home_shotontarget,home_oppos_shotontarget,away_wins,away_draws,away_losses,away_goals,away_oppos_goals,away_shots,away_oppos_shots,away_shotontarget,away_oppos_shotontarget,home_oppos_wins,home_oppos_draws,home_oppos_losses,home_fouls,home_yellowcards,home_redcards,home_cornerkicks,home_oppos_cornerkicks,home_oppos_fouls,home_oppos_yellowcards,home_oppos_redcards,away_fouls,away_yellowcards,away_redcards,away_cornerkicks,away_oppos_cornerkicks,away_oppos_fouls,away_oppos_yellowcards,away_oppos_redcards,wins,draws,losses,oppos_wins,oppos_draws,oppos_losses,goals,shots,shotontarget,cornerkicks,fouls,yellowcards,redcards,oppos_goals,oppos_shots,oppos_shotontarget,oppos_cornerkicks,oppos_fouls,oppos_yellowcards,oppos_redcards
1036,0.4,0.2,0.4,1.4,0.6666666666666666,11.6,12.333333333333334,7.2,7.333333333333333,0.6,0.0,0.4,2.2,1.0,12.8,16.333333333333332,8.4,6.666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,1.0,0.0,4.0,4.0,9.333333333333334,1.6666666666666667,0.0,10.4,1.6,0.0,5.4,4.666666666666667,8.333333333333334,1.0,0.0,-0.19999999999999996,0.2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.8000000000000003,-1.200000000000001,-1.2000000000000002,-1.4000000000000004,-0.40000000000000036,-0.6000000000000001,0.0,-0.33333333333333337,-3.9999999999999982,0.6666666666666661,-0.666666666666667,1.0,0.6666666666666667,0.0
1037,0.2,0.4,0.4,2.0,0.6666666666666666,12.6,10.0,7.6,6.0,0.4,0.4,0.2,2.8,1.3333333333333333,20.8,17.333333333333332,11.8,10.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,1.4,0.0,6.6,4.0,12.333333333333334,2.0,0.0,8.6,1.4,0.0,9.8,10.0,11.666666666666666,1.0,0.0,-0.2,0.0,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.7999999999999998,-8.200000000000001,-4.200000000000001,-3.200000000000001,1.4000000000000004,0.0,0.0,-0.6666666666666666,-7.333333333333332,-4.0,-6.0,0.6666666666666679,1.0,0.0
1038,0.6,0.4,0.0,1.6,2.0,19.4,10.0,12.6,5.333333333333333,0.8,0.2,0.0,2.2,3.6666666666666665,18.8,15.666666666666666,11.0,10.0,0.3333333333333333,0.0,0.6666666666666666,8.4,0.6,0.0,11.0,6.666666666666667,11.666666666666666,2.3333333333333335,0.6666666666666666,8.2,1.2,0.2,9.2,6.666666666666667,12.0,1.6666666666666667,0.0,-0.20000000000000007,0.2,0.0,0.3333333333333333,0.0,0.6666666666666666,-0.6000000000000001,0.5999999999999979,1.5999999999999996,1.8000000000000007,0.20000000000000107,-0.6,-0.2,-1.6666666666666665,-5.666666666666666,-4.666666666666667,0.0,-0.3333333333333339,0.6666666666666667,0.6666666666666666
1039,0.2,0.4,0.4,1.8,0.3333333333333333,8.2,9.0,4.0,6.333333333333333,0.4,0.4,0.2,1.4,3.3333333333333335,13.2,17.666666666666668,7.6,9.333333333333334,0.0,0.0,1.0,15.2,3.4,0.0,4.0,3.3333333333333335,8.333333333333334,1.6666666666666667,0.0,13.4,2.0,0.0,6.4,7.333333333333333,8.0,0.3333333333333333,0.0,-0.2,0.0,0.2,0.0,0.0,1.0,0.40000000000000013,-5.0,-3.5999999999999996,-2.4000000000000004,1.799999999999999,1.4,0.0,-3.0,-8.666666666666668,-3.000000000000001,-3.9999999999999996,0.3333333333333339,1.3333333333333335,0.0
1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,0.2,0.4,0.4,0.6,1.0,10.2,13.333333333333334,5.2,8.0,0.0,0.4,0.6,0.8,2.0,9.6,15.0,5.4,9.666666666666666,0.0,0.3333333333333333,0.6666666666666666,9.8,2.0,0.0,3.8,6.0,11.333333333333334,2.6666666666666665,0.3333333333333333,10.0,1.8,0.0,6.8,7.0,10.666666666666666,1.6666666666666667,0.0,0.2,0.0,-0.19999999999999996,0.0,0.3333333333333333,0.6666666666666666,-0.20000000000000007,0.5999999999999996,-0.20000000000000018,-3.0,-0.1999999999999993,0.19999999999999996,0.0,-1.0,-1.666666666666666,-1.666666666666666,-1.0,0.6666666666666679,0.9999999999999998,0.3333333333333333
1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,0.4,0.0,0.6,1.0,0.6666666666666666,8.0,12.333333333333334,4.2,7.0,0.4,0.2,0.4,1.0,2.6666666666666665,11.2,11.666666666666666,7.4,7.0,0.0,0.0,1.0,12.2,2.2,0.2,4.2,6.0,12.0,2.6666666666666665,0.0,9.6,1.0,0.0,4.0,4.666666666666667,6.666666666666667,0.6666666666666666,0.0,0.0,-0.2,0.19999999999999996,0.0,0.0,1.0,0.0,-3.1999999999999993,-3.2,0.20000000000000018,2.5999999999999996,1.2000000000000002,0.2,-2.0,0.6666666666666679,0.0,1.333333333333333,5.333333333333333,2.0,0.0
1044,0.4,0.4,0.2,2.6,0.3333333333333333,19.0,11.333333333333334,11.2,7.0,0.8,0.2,0.0,1.8,2.0,17.0,15.666666666666666,10.0,9.666666666666666,0.0,0.3333333333333333,0.6666666666666666,9.6,1.6,0.0,8.4,6.666666666666667,9.666666666666666,2.6666666666666665,0.6666666666666666,10.4,1.0,0.0,10.0,3.0,8.333333333333334,1.3333333333333333,0.0,-0.4,0.2,0.2,0.0,0.3333333333333333,0.6666666666666666,0.8,2.0,1.1999999999999993,-1.5999999999999996,-0.8000000000000007,0.6000000000000001,0.0,-1.6666666666666667,-4.333333333333332,-2.666666666666666,3.666666666666667,1.3333333333333321,1.3333333333333333,0.6666666666666666
1045,0.6,0.0,0.4,2.0,2.3333333333333335,12.6,9.666666666666666,7.8,6.333333333333333,0.2,0.2,0.6,0.8,1.0,9.0,9.333333333333334,4.0,3.6666666666666665,0.6666666666666666,0.0,0.3333333333333333,12.0,1.6,0.0,5.6,2.6666666666666665,11.333333333333334,1.0,0.0,10.6,2.0,0.0,4.0,6.666666666666667,10.0,1.3333333333333333,0.0,0.39999999999999997,-0.2,-0.19999999999999996,0.6666666666666666,0.0,0.3333333333333333,1.2,3.5999999999999996,3.8,1.5999999999999996,1.4000000000000004,-0.3999999999999999,0.0,1.3333333333333335,0.33333333333333215,2.6666666666666665,-4.0,1.333333333333334,-0.33333333333333326,0.0
1046,0.4,0.2,0.4,1.6,1.3333333333333333,9.6,12.666666666666666,4.2,7.333333333333333,0.4,0.2,0.4,1.2,1.3333333333333333,12.2,12.333333333333334,6.2,8.0,0.0,1.0,0.0,13.4,2.8,0.0,3.2,7.0,9.333333333333334,2.6666666666666665,0.0,8.8,1.6,0.0,4.2,8.333333333333334,10.333333333333334,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.40000000000000013,-2.5999999999999996,-2.0,-1.0,4.6,1.1999999999999997,0.0,0.0,0.33333333333333215,-0.666666666666667,-1.333333333333334,-1.0,1.6666666666666665,-0.3333333333333333
1047,0.4,0.2,0.4,1.8,0.6666666666666666,14.2,8.0,8.4,4.0,0.4,0.4,0.2,1.2,1.0,13.2,14.666666666666666,7.8,8.333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.4,1.0,0.0,8.0,3.3333333333333335,12.333333333333334,2.3333333333333335,0.0,13.8,1.8,0.0,7.2,7.0,11.333333333333334,1.6666666666666667,0.0,0.0,-0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6000000000000001,1.0,0.6000000000000005,0.7999999999999998,-5.4,-0.8,0.0,-0.33333333333333337,-6.666666666666666,-4.333333333333334,-3.6666666666666665,1.0,0.6666666666666667,0.0
1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,0.2,0.0,0.8,0.6,1.0,8.6,7.666666666666667,4.0,2.6666666666666665,0.6,0.0,0.4,1.2,0.6666666666666666,9.0,15.0,4.6,8.0,0.6666666666666666,0.0,0.3333333333333333,10.6,2.0,0.0,4.8,3.6666666666666665,12.333333333333334,1.0,0.0,11.2,2.0,0.2,4.4,3.6666666666666665,9.0,0.0,0.0,-0.39999999999999997,0.0,0.4,0.6666666666666666,0.0,0.3333333333333333,-0.6,-0.40000000000000036,-0.5999999999999996,0.39999999999999947,-0.5999999999999996,0.0,-0.2,0.33333333333333337,-7.333333333333333,-5.333333333333334,0.0,3.333333333333334,1.0,0.0
1051,0.4,0.0,0.6,1.2,1.6666666666666667,9.4,10.333333333333334,6.6,6.666666666666667,0.6,0.2,0.2,1.4,1.0,16.2,14.0,8.8,8.333333333333334,0.6666666666666666,0.0,0.3333333333333333,9.4,0.8,0.0,3.8,6.333333333333333,8.333333333333334,0.6666666666666666,0.0,9.0,1.4,0.2,7.8,4.666666666666667,10.0,1.3333333333333333,0.0,-0.19999999999999996,-0.2,0.39999999999999997,0.6666666666666666,0.0,0.3333333333333333,-0.19999999999999996,-6.799999999999999,-2.200000000000001,-4.0,0.40000000000000036,-0.5999999999999999,-0.2,0.6666666666666667,-3.666666666666666,-1.666666666666667,1.666666666666666,-1.666666666666666,-0.6666666666666666,0.0
1052,0.4,0.2,0.4,1.8,2.3333333333333335,16.0,16.333333333333332,9.6,9.666666666666666,0.4,0.0,0.6,1.2,1.3333333333333333,11.4,13.666666666666666,6.6,9.0,0.6666666666666666,0.0,0.3333333333333333,10.2,1.6,0.0,7.0,5.0,7.666666666666667,1.6666666666666667,0.0,10.4,1.8,0.0,6.2,7.333333333333333,13.666666666666666,1.6666666666666667,0.0,0.0,0.2,-0.19999999999999996,0.6666666666666666,0.0,0.3333333333333333,0.6000000000000001,4.6,3.0,0.7999999999999998,-0.20000000000000107,-0.19999999999999996,0.0,1.0000000000000002,2.666666666666666,0.6666666666666661,-2.333333333333333,-5.999999999999999,0.0,0.0
1053,0.0,0.2,0.8,1.0,1.6666666666666667,10.2,12.666666666666666,5.6,6.0,0.2,0.6,0.2,0.4,1.3333333333333333,8.6,10.0,5.8,5.666666666666667,0.3333333333333333,0.0,0.6666666666666666,11.6,2.0,0.0,7.2,4.333333333333333,9.666666666666666,1.3333333333333333,0.0,13.8,2.8,0.0,4.4,5.0,9.333333333333334,1.0,0.0,-0.2,-0.39999999999999997,0.6000000000000001,0.3333333333333333,0.0,0.6666666666666666,0.6,1.5999999999999996,-0.20000000000000018,2.8,-2.200000000000001,-0.7999999999999998,0.0,0.3333333333333335,2.666666666666666,0.33333333333333304,-0.666666666666667,0.33333333333333215,0.33333333333333326,0.0
1054,0.8,0.0,0.2,2.0,2.6666666666666665,17.6,11.0,10.4,7.666666666666667,0.4,0.4,0.2,1.2,0.3333333333333333,12.4,14.666666666666666,6.4,9.666666666666666,1.0,0.0,0.0,9.2,1.0,0.0,9.6,3.6666666666666665,8.333333333333334,1.0,0.0,10.0,1.8,0.0,4.6,5.333333333333333,9.0,0.6666666666666666,0.0,0.4,-0.4,0.0,1.0,0.0,0.0,0.8,5.200000000000001,4.0,5.0,-0.8000000000000007,-0.8,0.0,2.333333333333333,-3.666666666666666,-1.9999999999999991,-1.6666666666666665,-0.6666666666666661,0.33333333333333337,0.0
1055,0.2,0.4,0.4,1.6,1.3333333333333333,11.6,10.333333333333334,7.6,5.666666666666667,0.6,0.0,0.4,2.0,1.3333333333333333,13.4,13.333333333333334,7.6,7.0,0.3333333333333333,0.0,0.6666666666666666,10.2,1.2,0.0,5.6,3.6666666666666665,16.666666666666668,2.3333333333333335,0.3333333333333333,12.2,1.4,0.0,7.6,4.0,10.333333333333334,1.6666666666666667,0.0,-0.39999999999999997,0.4,0.0,0.3333333333333333,0.0,0.6666666666666666,-0.3999999999999999,-1.8000000000000007,0.0,-2.0,-2.0,-0.19999999999999996,0.0,0.0,-3.0,-1.333333333333333,-0.3333333333333335,6.333333333333334,0.6666666666666667,0.3333333333333333
1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,0.4,0.2,0.4,1.8,0.6666666666666666,14.2,10.333333333333334,8.6,4.333333333333333,0.2,0.2,0.6,0.6,1.0,10.0,10.333333333333334,4.6,5.666666666666667,0.0,0.6666666666666666,0.3333333333333333,9.6,1.8,0.2,9.6,8.0,13.666666666666666,0.3333333333333333,0.0,11.0,1.8,0.0,6.0,4.666666666666667,10.0,1.3333333333333333,0.0,0.2,0.0,-0.19999999999999996,0.0,0.6666666666666666,0.3333333333333333,1.2000000000000002,4.199999999999999,4.0,3.5999999999999996,-1.4000000000000004,0.0,0.2,-0.33333333333333337,0.0,-1.333333333333334,3.333333333333333,3.666666666666666,-1.0,0.0
1058,0.4,0.2,0.4,1.2,2.6666666666666665,13.6,15.666666666666666,8.6,10.333333333333334,0.4,0.0,0.6,1.6,0.6666666666666666,11.4,13.666666666666666,5.8,8.0,1.0,0.0,0.0,14.0,2.0,0.0,6.4,5.666666666666667,11.0,1.6666666666666667,0.0,12.4,1.2,0.0,7.2,6.333333333333333,9.333333333333334,2.3333333333333335,0.0,0.0,0.2,-0.19999999999999996,1.0,0.0,0.0,-0.40000000000000013,2.1999999999999993,2.8,-0.7999999999999998,1.5999999999999996,0.8,0.0,2.0,2.0,2.333333333333334,-0.6666666666666661,1.666666666666666,-0.6666666666666667,0.0
1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,0.0,0.4,0.6,1.0,0.3333333333333333,11.4,9.333333333333334,6.0,6.0,1.0,0.0,0.0,2.0,1.6666666666666667,13.2,15.666666666666666,8.0,8.0,0.0,0.0,1.0,10.8,1.6,0.0,6.6,4.0,12.666666666666666,1.6666666666666667,0.0,8.6,0.2,0.0,6.2,8.0,10.0,1.0,0.0,-1.0,0.4,0.6,0.0,0.0,1.0,-1.0,-1.799999999999999,-2.0,0.39999999999999947,2.200000000000001,1.4000000000000001,0.0,-1.3333333333333335,-6.333333333333332,-2.0,-4.0,2.666666666666666,0.6666666666666667,0.0
1061,0.4,0.0,0.6,1.2,0.6666666666666666,9.0,9.666666666666666,5.6,5.0,0.6,0.0,0.4,1.8,1.6666666666666667,15.8,17.0,9.0,11.0,0.0,0.3333333333333333,0.6666666666666666,8.0,0.8,0.0,3.8,6.666666666666667,9.333333333333334,1.3333333333333333,0.0,9.4,1.2,0.0,7.2,7.0,9.0,1.3333333333333333,0.0,-0.19999999999999996,0.0,0.19999999999999996,0.0,0.3333333333333333,0.6666666666666666,-0.6000000000000001,-6.800000000000001,-3.4000000000000004,-3.4000000000000004,-1.4000000000000004,-0.3999999999999999,0.0,-1.0,-7.333333333333334,-6.0,-0.33333333333333304,0.3333333333333339,0.0,0.0
1062,0.4,0.0,0.6,1.0,1.6666666666666667,12.8,12.0,7.6,6.0,0.6,0.2,0.2,1.2,1.6666666666666667,10.0,16.0,5.0,9.0,0.0,1.0,0.0,11.4,2.2,0.0,5.6,5.666666666666667,11.666666666666666,3.0,0.0,11.6,2.2,0.0,4.2,6.333333333333333,9.666666666666666,1.6666666666666667,0.0,-0.19999999999999996,-0.2,0.39999999999999997,0.0,1.0,0.0,-0.19999999999999996,2.8000000000000007,2.5999999999999996,1.3999999999999995,-0.1999999999999993,0.0,0.0,0.0,-4.0,-3.0,-0.6666666666666661,2.0,1.3333333333333333,0.0
1063,0.4,0.2,0.4,1.6,1.0,12.0,16.0,8.4,8.666666666666666,0.2,0.6,0.2,0.6,1.3333333333333333,7.2,14.0,4.6,6.333333333333333,0.0,0.6666666666666666,0.3333333333333333,9.6,1.2,0.0,6.8,5.0,7.333333333333333,2.3333333333333335,0.0,12.0,2.4,0.2,4.6,4.333333333333333,9.0,3.0,0.0,0.2,-0.39999999999999997,0.2,0.0,0.6666666666666666,0.3333333333333333,1.0,4.8,3.8000000000000007,2.2,-2.4000000000000004,-1.2,-0.2,-0.33333333333333326,2.0,2.333333333333333,0.666666666666667,-1.666666666666667,-0.6666666666666665,0.0
1064,0.6,0.0,0.4,1.6,1.3333333333333333,10.0,10.0,4.6,5.666666666666667,0.6,0.0,0.4,2.6,1.3333333333333333,16.4,22.0,9.8,11.333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,12.0,2.6,0.0,4.6,3.0,8.333333333333334,1.3333333333333333,0.0,9.8,1.0,0.0,6.4,9.333333333333334,7.333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.0,-6.399999999999999,-5.200000000000001,-1.8000000000000007,2.1999999999999993,1.6,0.0,0.0,-12.0,-5.666666666666667,-6.333333333333334,1.0000000000000009,0.0,0.0
1065,0.4,0.4,0.2,0.8,2.6666666666666665,11.0,10.666666666666666,5.6,6.333333333333333,0.4,0.0,0.6,1.6,0.6666666666666666,12.8,17.666666666666668,7.0,9.0,0.6666666666666666,0.0,0.3333333333333333,9.4,1.6,0.0,5.2,4.0,12.0,2.6666666666666665,0.0,9.6,1.6,0.0,3.4,4.333333333333333,11.333333333333334,1.6666666666666667,0.3333333333333333,0.0,0.4,-0.39999999999999997,0.6666666666666666,0.0,0.3333333333333333,-0.8,-1.8000000000000007,-1.4000000000000004,1.8000000000000003,-0.1999999999999993,0.0,0.0,2.0,-7.000000000000002,-2.666666666666667,-0.33333333333333304,0.6666666666666661,0.9999999999999998,-0.3333333333333333
1066,0.2,0.4,0.4,0.6,3.3333333333333335,6.0,14.333333333333334,4.0,9.0,0.2,0.0,0.8,0.6,2.0,8.6,16.333333333333332,3.8,7.666666666666667,1.0,0.0,0.0,11.8,2.4,0.2,4.6,4.666666666666667,9.0,1.0,0.0,7.0,1.0,0.0,3.8,5.333333333333333,7.666666666666667,1.0,0.0,0.0,0.4,-0.4,1.0,0.0,0.0,0.0,-2.5999999999999996,0.20000000000000018,0.7999999999999998,4.800000000000001,1.4,0.2,1.3333333333333335,-1.9999999999999982,1.333333333333333,-0.6666666666666661,1.333333333333333,0.0,0.0
1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,0.0,0.2,0.8,0.2,0.3333333333333333,9.4,5.0,3.6,1.6666666666666667,0.4,0.0,0.6,1.4,0.3333333333333333,10.6,8.666666666666666,5.6,4.0,0.0,1.0,0.0,13.2,2.0,0.0,4.4,4.333333333333333,11.666666666666666,1.3333333333333333,0.3333333333333333,10.8,2.2,0.0,5.2,5.0,9.0,1.0,0.0,-0.4,0.2,0.20000000000000007,0.0,1.0,0.0,-1.2,-1.1999999999999993,-1.9999999999999996,-0.7999999999999998,2.3999999999999986,-0.20000000000000018,0.0,0.0,-3.666666666666666,-2.333333333333333,-0.666666666666667,2.666666666666666,0.33333333333333326,0.3333333333333333
1069,0.4,0.2,0.4,1.0,0.6666666666666666,12.6,9.333333333333334,6.6,4.666666666666667,0.8,0.0,0.2,2.0,2.6666666666666665,18.0,13.333333333333334,10.8,7.333333333333333,0.0,0.0,1.0,12.4,1.6,0.2,3.8,4.666666666666667,12.0,1.0,0.0,9.8,1.0,0.2,7.6,5.333333333333333,11.0,1.0,0.0,-0.4,0.2,0.2,0.0,0.0,1.0,-1.0,-5.4,-4.200000000000001,-3.8,2.5999999999999996,0.6000000000000001,0.0,-2.0,-4.0,-2.666666666666666,-0.6666666666666661,1.0,0.0,0.0
1070,0.6,0.0,0.4,1.6,2.0,17.0,16.0,11.0,7.666666666666667,0.0,0.4,0.6,1.0,0.6666666666666666,10.8,12.333333333333334,5.4,7.0,1.0,0.0,0.0,7.4,0.8,0.0,7.4,5.333333333333333,8.666666666666666,2.3333333333333335,0.0,11.8,1.6,0.0,5.0,5.666666666666667,9.0,1.0,0.0,0.6,-0.4,-0.19999999999999996,1.0,0.0,0.0,0.6000000000000001,6.199999999999999,5.6,2.4000000000000004,-4.4,-0.8,0.0,1.3333333333333335,3.666666666666666,0.666666666666667,-0.3333333333333339,-0.3333333333333339,1.3333333333333335,0.0
1071,0.8,0.0,0.2,3.0,2.3333333333333335,15.0,15.666666666666666,9.4,9.0,0.4,0.0,0.6,1.4,1.6666666666666667,12.0,10.666666666666666,7.4,6.0,0.6666666666666666,0.0,0.3333333333333333,9.6,1.0,0.0,5.4,7.666666666666667,8.666666666666666,1.0,0.0,12.0,2.2,0.0,5.6,3.3333333333333335,10.0,0.6666666666666666,0.0,0.4,0.0,-0.39999999999999997,0.6666666666666666,0.0,0.3333333333333333,1.6,3.0,2.0,-0.1999999999999993,-2.4000000000000004,-1.2000000000000002,0.0,0.6666666666666667,5.0,3.0,4.333333333333334,-1.333333333333334,0.33333333333333337,0.0
1072,0.4,0.0,0.6,1.4,1.6666666666666667,10.6,16.0,4.6,10.333333333333334,0.6,0.4,0.0,1.4,2.6666666666666665,9.8,14.0,5.0,7.666666666666667,0.3333333333333333,0.0,0.6666666666666666,11.8,1.2,0.0,6.6,5.333333333333333,14.0,2.0,0.0,10.0,1.8,0.2,4.8,4.333333333333333,9.666666666666666,0.3333333333333333,0.0,-0.19999999999999996,-0.4,0.6,0.3333333333333333,0.0,0.6666666666666666,0.0,0.7999999999999989,-0.40000000000000036,1.7999999999999998,1.8000000000000007,-0.6000000000000001,-0.2,-0.9999999999999998,2.0,2.666666666666667,1.0,4.333333333333334,1.6666666666666667,0.0
1073,0.4,0.0,0.6,1.8,1.6666666666666667,13.8,14.333333333333334,7.6,7.0,0.6,0.0,0.4,1.4,1.6666666666666667,13.6,12.0,9.0,7.666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.2,1.2,0.0,4.2,6.0,9.666666666666666,1.0,0.0,11.0,1.4,0.0,7.2,6.666666666666667,11.666666666666666,1.3333333333333333,0.0,-0.19999999999999996,0.0,0.19999999999999996,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.40000000000000013,0.20000000000000107,-1.4000000000000004,-3.0,-1.8000000000000007,-0.19999999999999996,0.0,0.0,2.333333333333334,-0.666666666666667,-0.666666666666667,-2.0,-0.33333333333333326,0.0
1074,0.6,0.0,0.4,1.8,1.0,14.4,14.333333333333334,8.6,7.333333333333333,0.6,0.0,0.4,1.4,1.0,12.8,12.333333333333334,7.8,6.666666666666667,0.3333333333333333,0.0,0.6666666666666666,10.4,2.0,0.0,5.4,6.0,8.333333333333334,1.6666666666666667,0.0,11.0,1.8,0.2,7.4,2.6666666666666665,12.666666666666666,2.3333333333333335,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.40000000000000013,1.5999999999999996,0.7999999999999998,-2.0,-0.5999999999999996,0.19999999999999996,-0.2,0.0,2.0,0.6666666666666661,3.3333333333333335,-4.333333333333332,-0.6666666666666667,0.0
1075,1.0,0.0,0.0,2.0,1.3333333333333333,12.6,8.0,7.6,4.333333333333333,0.6,0.0,0.4,1.6,3.0,15.6,15.666666666666666,9.8,9.333333333333334,0.3333333333333333,0.0,0.6666666666666666,7.4,0.2,0.0,5.8,5.666666666666667,12.666666666666666,3.0,0.3333333333333333,12.4,1.6,0.0,6.4,6.666666666666667,11.0,3.6666666666666665,0.0,0.4,0.0,-0.4,0.3333333333333333,0.0,0.6666666666666666,0.3999999999999999,-3.0,-2.200000000000001,-0.6000000000000005,-5.0,-1.4000000000000001,0.0,-1.6666666666666667,-7.666666666666666,-5.000000000000001,-1.0,1.666666666666666,-0.6666666666666665,0.3333333333333333
1076,0.8,0.0,0.2,2.2,1.6666666666666667,16.6,17.666666666666668,10.2,11.333333333333334,0.0,0.6,0.4,0.6,1.6666666666666667,6.4,8.666666666666666,4.0,4.333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.2,1.4,0.2,8.0,7.333333333333333,8.666666666666666,0.6666666666666666,0.0,10.4,3.2,0.2,3.6,1.3333333333333333,11.666666666666666,3.3333333333333335,0.0,0.8,-0.6,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6,10.200000000000001,6.199999999999999,4.4,-0.20000000000000107,-1.8000000000000003,0.0,0.0,9.000000000000002,7.000000000000001,6.0,-3.0,-2.666666666666667,0.0
1077,0.6,0.0,0.4,1.8,0.3333333333333333,11.8,11.666666666666666,6.6,4.333333333333333,0.6,0.2,0.2,1.4,0.3333333333333333,9.4,11.666666666666666,4.6,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.6,2.0,0.0,5.0,5.666666666666667,12.666666666666666,2.6666666666666665,0.0,9.0,1.8,0.2,4.6,4.0,9.333333333333334,1.0,0.0,0.0,-0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.40000000000000013,2.4000000000000004,2.0,0.40000000000000036,1.5999999999999996,0.19999999999999996,-0.2,0.0,0.0,-1.666666666666667,1.666666666666667,3.333333333333332,1.6666666666666665,0.0
1078,0.6,0.2,0.2,1.8,0.6666666666666666,12.8,10.666666666666666,7.2,5.333333333333333,0.4,0.2,0.4,2.0,1.0,12.6,13.333333333333334,7.0,6.333333333333333,0.0,0.6666666666666666,0.3333333333333333,10.8,1.6,0.2,7.4,4.333333333333333,15.0,1.3333333333333333,0.3333333333333333,9.0,1.6,0.2,4.2,4.333333333333333,12.333333333333334,1.3333333333333333,0.0,0.19999999999999996,0.0,-0.2,0.0,0.6666666666666666,0.3333333333333333,-0.19999999999999996,0.20000000000000107,0.20000000000000018,3.2,1.8000000000000007,0.0,0.0,-0.33333333333333337,-2.666666666666668,-1.0,0.0,2.666666666666666,0.0,0.3333333333333333
1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,0.4,0.0,0.6,0.8,1.0,12.4,15.333333333333334,5.6,9.666666666666666,0.0,0.4,0.6,1.0,0.6666666666666666,10.2,12.666666666666666,4.8,5.666666666666667,0.3333333333333333,0.6666666666666666,0.0,12.0,1.6,0.0,7.2,9.666666666666666,12.0,4.0,0.3333333333333333,13.0,1.8,0.0,5.0,6.333333333333333,15.0,2.0,0.6666666666666666,0.4,-0.4,0.0,0.3333333333333333,0.6666666666666666,0.0,-0.19999999999999996,2.200000000000001,0.7999999999999998,2.2,-1.0,-0.19999999999999996,0.0,0.33333333333333337,2.666666666666668,3.999999999999999,3.333333333333333,-3.0,2.0,-0.3333333333333333
1082,0.0,0.2,0.8,0.4,1.0,9.2,10.0,3.6,5.666666666666667,0.8,0.0,0.2,1.8,2.3333333333333335,13.8,12.333333333333334,7.8,8.0,0.0,0.3333333333333333,0.6666666666666666,14.6,2.0,0.0,4.4,4.333333333333333,11.333333333333334,1.6666666666666667,0.0,7.6,0.8,0.0,6.2,6.666666666666667,7.0,0.6666666666666666,0.0,-0.8,0.2,0.6000000000000001,0.0,0.3333333333333333,0.6666666666666666,-1.4,-4.600000000000001,-4.199999999999999,-1.7999999999999998,7.0,1.2,0.0,-1.3333333333333335,-2.333333333333334,-2.333333333333333,-2.333333333333334,4.333333333333334,1.0,0.0
